914219812034891NorthSouth          0.01782
636338624999999NorthSouth          0.01593
348928409230848Wrong               0.99998
460158335872145SouthNorth          0.23453
322722034034891SouthNorth          0.01782
736136036077329EastWest            0.01394
914219812099125NorthSouth          0.01291
527520699115607EastWest            0.02135
014219813099125NorthSouth          0.01291
736136036077329EastWest            0.01397
121632382115607EastWest            0.03165
228152485077329SouthNorth          0.01394
